"Timestamp","Are modules and features access are based on user roles and permissions?","Based on changes in user responsibilities or structural changes, are roles assigned and revoked dynamically based on changes?","To resolve role-based access conflict or overlapping, is there any mechanism in placed to resolve conflicts? ","During user login, are multiple authentication methods are integrated in the system? ","Is multi-factor authentication (MFA) implemented? ","Is sensitive data is encrypted within the Odoo campus management solution?","Are encryption protocols and algorithms are utilized for encrypting data at rest and in transit?","Are encryption keys managed securely, and is there support for key rotation and secure key storage?","Audit Logs for user activities and system events are managed?","For compliance and security monitoring, are logs easily accessible and reviewed from admin account.","Automatic alerts and notifications are enabled in case of any security breach or anomalies defected?","Patches and updates are applied regularly to address security vulnerabilities?","Is sandbox or staging environment is used for testing updates and patches? ","Changes introduced by software updates or application of patches, are tracked and documented regularly?","Security threats and vulnerabilities are address by reviewing and updating security configurations regularly?","Is Odoo CMS integrated with security compliance frameworks and tools?","Are security configurations documented and communicated to ensure consistency across the environment? ","Are training sessions conducted regularly for users in account of security awareness?","Security incidents and concerns are reported through a proper process and procedure is defined?","To handle and adhere to sensitive data, are users trained for system?"
"2024/05/04 2:01:33 PM GMT+5","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"2024/05/04 2:30:41 PM GMT+5","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2024/05/04 2:33:30 PM GMT+5","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"2024/05/04 2:34:27 PM GMT+5","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"2024/05/04 2:37:38 PM GMT+5","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No"
"2024/05/04 2:41:30 PM GMT+5","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes"
"2024/05/04 2:42:36 PM GMT+5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2024/05/04 2:50:46 PM GMT+5","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"2024/05/04 3:25:56 PM GMT+5","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"2024/05/04 4:19:48 PM GMT+5","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes"
"2024/05/04 4:21:09 PM GMT+5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2024/05/04 4:54:39 PM GMT+5","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"2024/05/04 4:59:57 PM GMT+5","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"2024/05/04 5:21:22 PM GMT+5","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"2024/05/04 6:09:14 PM GMT+5","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"2024/05/04 6:22:14 PM GMT+5","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No"
"2024/05/04 9:55:17 PM GMT+5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2024/05/04 11:46:29 PM GMT+5","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","Yes"